station_Borgo Valsugana,station_Parco S. Chiara,station_Rovereto,elevation,day,cos_week_day,sin_week_day,temperature,precipitation,PM2.5_1,PM2.5_2,PM2.5_diff_1,NO2_1,power_area_50_1,target
1,0,0,410,3,0.6234898018587334,-0.7818314824680299,11.231521739130434,0.013043478260869568,24.764705882352942,11.391304347826088,13.373401534526854,21.08695652173913,18.197335155890297,15.73913043478261
1,0,0,410,4,1.0,0.0,10.796739130434784,0.12608695652173912,15.73913043478261,24.764705882352942,-9.025575447570333,18.82608695652174,17.47847537615935,8.347826086956522
1,0,0,410,5,0.6234898018587336,0.7818314824680297,7.609782608695652,0.02826086956521739,8.347826086956522,15.73913043478261,-7.391304347826088,26.73913043478261,37.20039975444744,11.565217391304348
1,0,0,410,6,-0.22252093395631434,0.9749279121818236,9.641304347826088,0.0,11.565217391304348,8.347826086956522,3.217391304347826,25.91304347826087,37.421266267979355,8.26086956521739
1,0,0,410,7,-0.900968867902419,0.43388373911755823,9.980434782608697,0.0,8.26086956521739,11.565217391304348,-3.304347826086957,26.956521739130434,35.957377099386726,16.47826086956522
1,0,0,410,8,-0.9009688679024191,-0.433883739117558,8.371739130434783,0.0,16.47826086956522,8.26086956521739,8.217391304347828,27.26086956521739,37.3667606938135,23.73913043478261
1,0,0,410,9,-0.2225209339563146,-0.9749279121818235,9.639130434782608,0.017391304347826087,23.73913043478261,16.47826086956522,7.260869565217391,25.217391304347824,36.440558176225096,11.304347826086957
1,0,0,410,10,0.6234898018587334,-0.7818314824680299,10.21195652173913,0.2434782608695652,11.304347826086957,23.73913043478261,-12.434782608695652,21.869565217391305,16.39111853526051,6.235294117647059
1,0,0,410,11,1.0,0.0,6.825,0.0,6.235294117647059,11.304347826086957,-5.069053708439898,14.826086956521738,18.65250752333307,2.2
1,0,0,410,12,0.6234898018587336,0.7818314824680297,11.504347826086958,0.0,2.2,6.235294117647059,-4.035294117647059,13.91304347826087,36.32641333400467,20.375
1,0,0,410,13,-0.22252093395631434,0.9749279121818236,7.877272727272728,0.0,20.375,2.2,18.175,34.857142857142854,37.41715803124518,18.0
1,0,0,410,14,-0.900968867902419,0.43388373911755823,8.356521739130434,0.008695652173913044,18.0,20.375,-2.375,35.0,37.65381077196358,19.954545454545453
1,0,0,410,15,-0.9009688679024191,-0.433883739117558,7.575,0.07608695652173914,19.954545454545453,18.0,1.9545454545454533,28.0,37.6949005019226,10.0
1,0,0,410,16,-0.2225209339563146,-0.9749279121818235,6.126086956521739,0.14347826086956522,10.0,19.954545454545453,-9.954545454545453,29.0,40.731174251503894,19.22222222222222
1,0,0,410,17,0.6234898018587334,-0.7818314824680299,6.939130434782609,0.0,19.22222222222222,10.0,9.222222222222221,22.782608695652176,21.003955442825657,12.904761904761905
1,0,0,410,18,1.0,0.0,8.08695652173913,0.0,12.904761904761905,19.22222222222222,-6.317460317460316,17.82608695652174,18.90811871094111,13.521739130434783
