station_Borgo Valsugana,station_Monte Gaza,station_Parco S. Chiara,station_Piana Rotaliana,station_Riva del Garda,station_Rovereto,station_Via Bolzano,elevation,day,cos_week_day,sin_week_day,temperature,precipitation,PM10_1,PM10_2,PM10_diff_1,NO2_1,power_area_50_1,target
1,0,0,0,0,0,0,410,3,0.6234898018587334,-0.7818314824680299,11.231521739130434,0.013043478260869568,28.869565217391305,25.73913043478261,3.1304347826086953,21.08695652173913,18.197335155890297,23.652173913043477
1,0,0,0,0,0,0,410,4,1.0,0.0,10.796739130434784,0.12608695652173912,23.652173913043477,28.869565217391305,-5.217391304347828,18.82608695652174,17.47847537615935,14.73913043478261
1,0,0,0,0,0,0,410,5,0.6234898018587336,0.7818314824680297,7.609782608695652,0.02826086956521739,14.73913043478261,23.652173913043477,-8.913043478260867,26.73913043478261,37.20039975444744,17.0
1,0,0,0,0,0,0,410,6,-0.22252093395631434,0.9749279121818236,9.641304347826088,0.0,17.0,14.73913043478261,2.2608695652173907,25.91304347826087,37.421266267979355,14.73913043478261
1,0,0,0,0,0,0,410,7,-0.900968867902419,0.43388373911755823,9.980434782608697,0.0,14.73913043478261,17.0,-2.2608695652173907,26.956521739130434,35.957377099386726,26.08695652173913
1,0,0,0,0,0,0,410,8,-0.9009688679024191,-0.433883739117558,8.371739130434783,0.0,26.08695652173913,14.73913043478261,11.34782608695652,27.26086956521739,37.3667606938135,34.0
1,0,0,0,0,0,0,410,9,-0.2225209339563146,-0.9749279121818235,9.639130434782608,0.017391304347826087,34.0,26.08695652173913,7.913043478260871,25.217391304347824,36.440558176225096,19.17391304347826
1,0,0,0,0,0,0,410,10,0.6234898018587334,-0.7818314824680299,10.21195652173913,0.2434782608695652,19.17391304347826,34.0,-14.826086956521738,21.869565217391305,16.39111853526051,8.956521739130435
1,0,0,0,0,0,0,410,11,1.0,0.0,6.825,0.0,8.956521739130435,19.17391304347826,-10.217391304347826,14.826086956521738,18.65250752333307,4.521739130434782
1,0,0,0,0,0,0,410,12,0.6234898018587336,0.7818314824680297,11.504347826086958,0.0,4.521739130434782,8.956521739130435,-4.434782608695653,13.91304347826087,36.32641333400467,22.142857142857142
1,0,0,0,0,0,0,410,13,-0.22252093395631434,0.9749279121818236,7.877272727272728,0.0,22.142857142857142,4.521739130434782,17.62111801242236,34.857142857142854,37.41715803124518,34.91304347826087
