station_Borgo Valsugana,station_Monte Gaza,station_Parco S. Chiara,station_Piana Rotaliana,station_Riva del Garda,station_Rovereto,elevation,day,cos_week_day,sin_week_day,temperature,precipitation,O3_1,O3_2,O3_diff_1,PM10_1,NO2_1,power_area_50_1,target
1,0,0,0,0,0,410,3,0.6234898018587334,-0.7818314824680299,11.231521739130434,0.013043478260869568,14.08695652173913,7.043478260869565,7.043478260869565,28.869565217391305,21.08695652173913,18.197335155890297,15.608695652173912
1,0,0,0,0,0,410,4,1.0,0.0,10.796739130434784,0.12608695652173912,15.608695652173912,14.08695652173913,1.5217391304347814,23.652173913043477,18.82608695652174,17.47847537615935,6.086956521739131
1,0,0,0,0,0,410,5,0.6234898018587336,0.7818314824680297,7.609782608695652,0.02826086956521739,6.086956521739131,15.608695652173912,-9.521739130434781,14.73913043478261,26.73913043478261,37.20039975444744,8.478260869565217
1,0,0,0,0,0,410,6,-0.22252093395631434,0.9749279121818236,9.641304347826088,0.0,8.478260869565217,6.086956521739131,2.391304347826086,17.0,25.91304347826087,37.421266267979355,14.608695652173912
1,0,0,0,0,0,410,7,-0.900968867902419,0.43388373911755823,9.980434782608697,0.0,14.608695652173912,8.478260869565217,6.130434782608695,14.73913043478261,26.956521739130434,35.957377099386726,7.869565217391305
1,0,0,0,0,0,410,8,-0.9009688679024191,-0.433883739117558,8.371739130434783,0.0,7.869565217391305,14.608695652173912,-6.7391304347826075,26.08695652173913,27.26086956521739,37.3667606938135,3.6956521739130435
1,0,0,0,0,0,410,9,-0.2225209339563146,-0.9749279121818235,9.639130434782608,0.017391304347826087,3.6956521739130435,7.869565217391305,-4.173913043478262,34.0,25.217391304347824,36.440558176225096,17.217391304347824
1,0,0,0,0,0,410,10,0.6234898018587334,-0.7818314824680299,10.21195652173913,0.2434782608695652,17.217391304347824,3.6956521739130435,13.521739130434781,19.17391304347826,21.869565217391305,16.39111853526051,26.652173913043477
1,0,0,0,0,0,410,11,1.0,0.0,6.825,0.0,26.652173913043477,17.217391304347824,9.434782608695652,8.956521739130435,14.826086956521738,18.65250752333307,61.91304347826087
1,0,0,0,0,0,410,12,0.6234898018587336,0.7818314824680297,11.504347826086958,0.0,61.91304347826087,26.652173913043477,35.26086956521739,4.521739130434782,13.91304347826087,36.32641333400467,20.09090909090909
1,0,0,0,0,0,410,13,-0.22252093395631434,0.9749279121818236,7.877272727272728,0.0,20.09090909090909,61.91304347826087,-41.82213438735178,22.142857142857142,34.857142857142854,37.41715803124518,5.478260869565218
1,0,0,0,0,0,410,14,-0.900968867902419,0.43388373911755823,8.356521739130434,0.008695652173913044,5.478260869565218,20.09090909090909,-14.612648221343871,34.91304347826087,35.0,37.65381077196358,4.434782608695652
1,0,0,0,0,0,410,15,-0.9009688679024191,-0.433883739117558,7.575,0.07608695652173914,4.434782608695652,5.478260869565218,-1.0434782608695654,27.681818181818183,28.0,37.6949005019226,13.043478260869565
