station_Borgo Valsugana,station_Monte Gaza,station_Parco S. Chiara,station_Piana Rotaliana,station_Riva del Garda,station_Rovereto,station_Via Bolzano,elevation,day,cos_week_day,sin_week_day,cos_hour,sin_hour,temperature,precipitation,PM10_1,PM10_2,PM10_3,PM10_diff_1,PM10_diff_2,NO2_1,power_area_50_1,power_area_50_2,target
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,6.123233995736766e-17,1.0,10.95,0.0,21.0,20.0,19.0,1.0,2.0,18.0,16.969367003852984,14.669912582500649,19.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.25881904510252063,0.9659258262890683,11.0,0.0,19.0,21.0,20.0,-2.0,-1.0,16.0,15.329278048961118,16.969367003852984,24.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.4999999999999998,0.8660254037844388,10.925,0.0,24.0,19.0,21.0,5.0,3.0,16.0,17.519438433207007,15.329278048961118,19.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.7071067811865475,0.7071067811865476,10.95,0.0,19.0,24.0,19.0,-5.0,0.0,15.0,17.446178236762716,17.519438433207007,22.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.8660254037844387,0.49999999999999994,11.55,0.0,22.0,19.0,24.0,3.0,-2.0,15.0,17.484407681921184,17.446178236762716,26.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.9659258262890682,0.258819045102521,12.15,0.0,26.0,22.0,19.0,4.0,7.0,18.0,17.774179694892823,17.484407681921184,23.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-1.0,1.2246467991473532e-16,12.85,0.0,23.0,26.0,22.0,-3.0,1.0,17.0,17.936619879257247,17.774179694892823,30.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.9659258262890683,-0.2588190451025208,13.8,0.0,30.0,23.0,26.0,7.0,4.0,18.0,18.9687063299356,17.936619879257247,28.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.8660254037844388,-0.4999999999999998,14.85,0.0,28.0,30.0,23.0,-2.0,5.0,14.0,16.37486097732289,18.9687063299356,25.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.7071067811865479,-0.7071067811865471,15.55,0.0,25.0,28.0,30.0,-3.0,-5.0,15.0,16.91239809419171,16.37486097732289,22.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.5000000000000004,-0.8660254037844384,14.675,0.0,22.0,25.0,28.0,-3.0,-6.0,13.0,14.09493238105547,16.91239809419171,23.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-0.25881904510252063,-0.9659258262890683,13.875,0.0,23.0,22.0,25.0,1.0,-2.0,20.0,14.937325351919927,14.09493238105547,29.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,-1.8369701987210297e-16,-1.0,13.05,0.0,29.0,23.0,22.0,6.0,7.0,26.0,18.89363133005911,14.937325351919927,38.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,0.2588190451025203,-0.9659258262890684,12.4,0.0,38.0,29.0,23.0,9.0,15.0,29.0,20.10729609594999,18.89363133005911,40.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,0.5,-0.8660254037844386,12.1,0.0,40.0,38.0,29.0,2.0,11.0,26.0,22.053695347605583,20.10729609594999,46.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,0.7071067811865475,-0.7071067811865477,12.025,0.0,46.0,40.0,38.0,6.0,8.0,25.0,22.1816616820835,22.053695347605583,28.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,0.8660254037844384,-0.5000000000000004,11.475,0.0,28.0,46.0,40.0,-18.0,-12.0,22.0,20.35005446699916,22.1816616820835,28.0
1,0,0,0,0,0,0,410,1,-0.9009688679024191,-0.433883739117558,0.9659258262890681,-0.2588190451025215,10.925,0.0,28.0,28.0,46.0,0.0,-18.0,21.0,21.15484201456743,20.35005446699916,25.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,0.9659258262890683,0.25881904510252074,10.2,0.0,25.0,28.0,28.0,-3.0,-3.0,16.0,17.251601901371952,21.15484201456743,25.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,0.8660254037844387,0.49999999999999994,10.225,0.0,25.0,25.0,28.0,0.0,-3.0,14.0,13.831390666379905,17.251601901371952,25.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,0.7071067811865476,0.7071067811865475,10.0,0.0,25.0,25.0,25.0,0.0,0.0,15.0,12.991803854212437,13.831390666379905,25.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,0.5000000000000001,0.8660254037844386,10.1,0.0,25.0,25.0,25.0,0.0,0.0,12.0,13.006395202400595,12.991803854212437,23.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,0.25881904510252074,0.9659258262890683,9.975,0.0,23.0,25.0,25.0,-2.0,-2.0,12.0,13.123948180472429,13.006395202400595,24.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,6.123233995736766e-17,1.0,10.05,0.0,24.0,23.0,25.0,1.0,-1.0,11.0,12.751025090014332,13.123948180472429,23.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,-0.25881904510252063,0.9659258262890683,9.725,0.0,23.0,24.0,23.0,-1.0,0.0,11.0,13.82324163604352,12.751025090014332,23.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,-0.4999999999999998,0.8660254037844388,9.675,0.0,23.0,23.0,24.0,0.0,-1.0,16.0,15.568861138814512,13.82324163604352,24.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,-0.7071067811865475,0.7071067811865476,9.725,0.0,24.0,23.0,23.0,1.0,1.0,21.0,16.690854672903672,15.568861138814512,29.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,-0.8660254037844387,0.49999999999999994,10.175,0.05,29.0,24.0,23.0,5.0,6.0,19.0,18.80342142509777,16.690854672903672,29.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,-0.9659258262890682,0.258819045102521,10.575,0.1,29.0,29.0,24.0,0.0,5.0,23.0,19.894577917179184,18.80342142509777,27.0
1,0,0,0,0,0,0,410,2,-0.2225209339563146,-0.9749279121818235,-1.0,1.2246467991473532e-16,11.25,0.05,27.0,29.0,29.0,-2.0,-2.0,23.0,19.702186047179357,19.894577917179184,27.0
