day,cos_week_day,sin_week_day,PM10_mean_1,NO2_mean_1,daily_AQI_1,power_area_50_1,PM10_mean_2,NO2_mean_2,daily_AQI_2,power_area_50_2,PM10_mean_diff_1,NO2_mean_diff_1,daily_AQI_diff_1,PM10_mean_diff_2,NO2_mean_diff_2,daily_AQI_diff_2,temperature,precipitation,target
4,1.0,0.0,23.652173913043477,18.82608695652174,31.47826086956522,17.47847537615935,28.869565217391305,21.08695652173913,59.05882352941177,18.197335155890297,-5.217391304347828,-2.2608695652173907,-27.58056265984655,-2.0869565217391326,-0.0869565217391326,3.826086956521742,10.796739130434784,0.12608695652173912,1
5,0.6234898018587336,0.7818314824680297,14.73913043478261,26.73913043478261,16.695652173913043,37.20039975444744,23.652173913043477,18.82608695652174,31.47826086956522,17.47847537615935,-8.913043478260867,7.913043478260871,-14.782608695652176,-14.130434782608695,5.65217391304348,-42.36317135549872,7.609782608695652,0.02826086956521739,1
6,-0.22252093395631434,0.9749279121818236,17.0,25.91304347826087,23.130434782608695,37.421266267979355,14.73913043478261,26.73913043478261,16.695652173913043,37.20039975444744,2.2608695652173907,-0.8260869565217384,6.434782608695652,-6.652173913043477,7.086956521739133,-8.347826086956523,9.641304347826088,0.0,1
7,-0.900968867902419,0.43388373911755823,14.73913043478261,26.956521739130434,16.52173913043478,35.957377099386726,17.0,25.91304347826087,23.130434782608695,37.421266267979355,-2.2608695652173907,1.0434782608695627,-6.608695652173914,0.0,0.2173913043478244,-0.17391304347826164,9.980434782608697,0.0,1
8,-0.9009688679024191,-0.433883739117558,26.08695652173913,27.26086956521739,32.95652173913044,37.3667606938135,14.73913043478261,26.956521739130434,16.52173913043478,35.957377099386726,11.34782608695652,0.304347826086957,16.434782608695656,9.086956521739129,1.3478260869565197,9.826086956521742,8.371739130434783,0.0,0
9,-0.2225209339563146,-0.9749279121818235,34.0,25.217391304347824,54.95652173913044,36.440558176225096,26.08695652173913,27.26086956521739,32.95652173913044,37.3667606938135,7.913043478260871,-2.0434782608695663,22.0,19.26086956521739,-1.7391304347826093,38.434782608695656,9.639130434782608,0.017391304347826087,1
10,0.6234898018587334,-0.7818314824680299,19.17391304347826,21.869565217391305,22.608695652173914,16.39111853526051,34.0,25.217391304347824,54.95652173913044,36.440558176225096,-14.826086956521738,-3.3478260869565197,-32.34782608695652,-6.913043478260867,-5.391304347826086,-10.347826086956523,10.21195652173913,0.2434782608695652,1
11,1.0,0.0,8.956521739130435,14.826086956521738,12.470588235294118,18.65250752333307,19.17391304347826,21.869565217391305,22.608695652173914,16.39111853526051,-10.217391304347826,-7.043478260869566,-10.138107416879796,-25.043478260869563,-10.391304347826086,-42.48593350383632,6.825,0.0,1
12,0.6234898018587336,0.7818314824680297,4.521739130434782,13.91304347826087,15.478260869565217,36.32641333400467,8.956521739130435,14.826086956521738,12.470588235294118,18.65250752333307,-4.434782608695653,-0.9130434782608692,3.007672634271099,-14.65217391304348,-7.9565217391304355,-7.130434782608697,11.504347826086958,0.0,0
13,-0.22252093395631434,0.9749279121818236,22.142857142857142,34.857142857142854,41.5,37.41715803124518,4.521739130434782,13.91304347826087,15.478260869565217,36.32641333400467,17.62111801242236,20.944099378881987,26.02173913043478,13.186335403726707,20.031055900621116,29.029411764705884,7.877272727272728,0.0,1
14,-0.900968867902419,0.43388373911755823,34.91304347826087,35.0,39.884057971014485,37.65381077196358,22.142857142857142,34.857142857142854,41.5,37.41715803124518,12.770186335403725,0.1428571428571459,-1.6159420289855149,30.391304347826086,21.086956521739133,24.405797101449267,8.356521739130434,0.008695652173913044,1
15,-0.9009688679024191,-0.433883739117558,27.681818181818183,28.0,39.90909090909091,37.6949005019226,34.91304347826087,35.0,39.884057971014485,37.65381077196358,-7.231225296442684,-7.0,0.025032938076421374,5.538961038961041,-6.857142857142854,-1.5909090909090935,7.575,0.07608695652173914,1
16,-0.2225209339563146,-0.9749279121818235,14.73913043478261,29.0,20.0,40.731174251503894,27.681818181818183,28.0,39.90909090909091,37.6949005019226,-12.942687747035574,1.0,-19.909090909090907,-20.173913043478258,-6.0,-19.884057971014485,6.126086956521739,0.14347826086956522,1
17,0.6234898018587334,-0.7818314824680299,22.043478260869566,22.782608695652176,38.44444444444444,21.003955442825657,14.73913043478261,29.0,20.0,40.731174251503894,7.304347826086957,-6.217391304347824,18.444444444444443,-5.638339920948617,-5.217391304347824,-1.4646464646464636,6.939130434782609,0.0,1
18,1.0,0.0,17.47826086956522,17.82608695652174,25.80952380952381,18.90811871094111,22.043478260869566,22.782608695652176,38.44444444444444,21.003955442825657,-4.565217391304348,-4.956521739130437,-12.634920634920633,2.7391304347826093,-11.173913043478262,5.80952380952381,8.08695652173913,0.0,1
