station_Borgo Valsugana,station_Monte Gaza,station_Parco S. Chiara,station_Piana Rotaliana,station_Riva del Garda,station_Rovereto,station_Via Bolzano,monday,tuesday,wednesday,thursday,friday,saturday,sunday,elevation,day,PM10_1,NO2_1,AQI_1,power_area_50_1,PM10_2,NO2_2,AQI_2,power_area_50_2,temperature,precipitation,target
1,0,0,0,0,0,0,0,0,0,0,0,1,0,410,2,25.73913043478261,18.91304347826087,29.710144927536227,17.843233162783832,,,,,12.203260869565218,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,410,3,28.869565217391305,21.08695652173913,44.10434782608696,18.197335155890297,25.73913043478261,18.91304347826087,29.710144927536227,17.843233162783832,11.231521739130434,0.013043478260869568,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,410,4,23.652173913043477,18.82608695652174,33.80579710144927,17.47847537615935,28.869565217391305,21.08695652173913,44.10434782608696,18.197335155890297,10.796739130434784,0.12608695652173912,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,410,5,14.73913043478261,26.73913043478261,20.5,37.20039975444744,23.652173913043477,18.82608695652174,33.80579710144927,17.47847537615935,7.609782608695652,0.02826086956521739,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,410,6,17.0,25.91304347826087,24.77391304347826,37.421266267979355,14.73913043478261,26.73913043478261,20.5,37.20039975444744,9.641304347826088,0.0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,410,7,14.73913043478261,26.956521739130434,18.90942028985507,35.957377099386726,17.0,25.91304347826087,24.77391304347826,37.421266267979355,9.980434782608697,0.0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,410,8,26.08695652173913,27.26086956521739,32.81739130434782,37.3667606938135,14.73913043478261,26.956521739130434,18.90942028985507,35.957377099386726,8.371739130434783,0.0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,410,9,34.0,25.217391304347824,48.800000000000004,36.440558176225096,26.08695652173913,27.26086956521739,32.81739130434782,37.3667606938135,9.639130434782608,0.017391304347826087,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,410,10,19.17391304347826,21.869565217391305,26.031159420289857,16.39111853526051,34.0,25.217391304347824,48.800000000000004,36.440558176225096,10.21195652173913,0.2434782608695652,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,410,11,8.956521739130435,14.826086956521738,13.195652173913043,18.65250752333307,19.17391304347826,21.869565217391305,26.031159420289857,16.39111853526051,6.825,0.0,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,410,12,4.521739130434782,13.91304347826087,15.66304347826087,36.32641333400467,8.956521739130435,14.826086956521738,13.195652173913043,18.65250752333307,11.504347826086958,0.0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,410,13,22.142857142857142,34.857142857142854,33.28333333333333,37.41715803124518,4.521739130434782,13.91304347826087,15.66304347826087,36.32641333400467,7.877272727272728,0.0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,410,14,34.91304347826087,35.0,37.34202898550725,37.65381077196358,22.142857142857142,34.857142857142854,33.28333333333333,37.41715803124518,8.356521739130434,0.008695652173913044,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,410,15,27.681818181818183,28.0,42.059420289855076,37.6949005019226,34.91304347826087,35.0,37.34202898550725,37.65381077196358,7.575,0.07608695652173914,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,410,16,14.73913043478261,29.0,20.565217391304348,40.731174251503894,27.681818181818183,28.0,42.059420289855076,37.6949005019226,6.126086956521739,0.14347826086956522,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,410,17,22.043478260869566,22.782608695652176,35.17391304347826,21.003955442825657,14.73913043478261,29.0,20.565217391304348,40.731174251503894,6.939130434782609,0.0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,410,18,17.47826086956522,17.82608695652174,25.217391304347824,18.90811871094111,22.043478260869566,22.782608695652176,35.17391304347826,21.003955442825657,8.08695652173913,0.0,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,410,19,20.391304347826086,23.782608695652176,28.26086956521739,37.62208137528542,17.47826086956522,17.82608695652174,25.217391304347824,18.90811871094111,7.689130434782609,0.0,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0,410,20,27.782608695652176,32.04347826086956,38.23478260869565,39.953714691997156,20.391304347826086,23.782608695652176,28.26086956521739,37.62208137528542,7.128260869565217,0.20434782608695654,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,410,21,17.391304347826086,31.0,24.615942028985504,39.95596297940617,27.782608695652176,32.04347826086956,38.23478260869565,39.953714691997156,8.009782608695652,0.04130434782608696,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,410,22,9.869565217391305,18.695652173913043,16.065217391304348,41.17396356933174,17.391304347826086,31.0,24.615942028985504,39.95596297940617,4.6706521739130435,0.10652173913043479,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,410,23,13.695652173913043,32.78260869565217,24.694202898550724,38.18277598412425,9.869565217391305,18.695652173913043,16.065217391304348,41.17396356933174,3.2271739130434782,0.02391304347826087,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,410,24,26.565217391304348,34.82608695652174,39.8304347826087,23.273428782798156,13.695652173913043,32.78260869565217,24.694202898550724,38.18277598412425,2.48804347826087,0.1565217391304348,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,410,25,20.73913043478261,22.52173913043478,30.54492753623188,18.806151071958908,26.565217391304348,34.82608695652174,39.8304347826087,23.273428782798156,5.28695652173913,0.03695652173913044,1
